url,text,date
https://www.nytimes.com/2018/01/12/us/politics/trump-physical-exam.html?searchResultPosition=1,"Trump Is in ‘Excellent Health,’ Doctor Says After Exam
Dr. Ronny L. Jackson, a rear admiral in the Navy and the White House physician, provided no details, including Mr. Trump’s weight or blood pressure.
By Michael D. Shear and Lawrence K. Altman, M.d.
PRINT EDITIONCondition Of President Is ‘Excellent,’ Doctor Says|January 13, 2018, Page A14",2018-01-12
https://www.nytimes.com/2018/01/13/us/politics/chelsea-manning-files-for-senate-run-in-maryland.html?searchResultPosition=1,"Chelsea Manning Files for Senate Run in Maryland
Ms. Manning, a former Army private convicted of disclosing classified information, would face Senator Benjamin L. Cardin, the top Democrat on the Foreign Relations Committee, in the primary race.
By Emily Cochrane
PRINT EDITIONManning Files to Run for Senate in Maryland|January 14, 2018, Page A20",2018-01-13
https://www.nytimes.com/2018/01/14/us/california-mudslides-montecito.html?searchResultPosition=1,"In Montecito, Enclave of Wealth and Fame, Unimagined Tragedy
Mudslides left the coastal community of Montecito, Calif., in ruins, and rescuers were racing against time on Sunday to find four people still missing.
By Tim Arango
PRINT EDITIONMud and Loss In an Enclave Of the Famous|January 15, 2018, Page A1",2018-01-14
https://www.nytimes.com/2018/01/15/us/martin-luther-king-children-trump.html?searchResultPosition=1,"Two of Martin Luther King Jr.’s Children Speak Out Against Trump
In Atlanta and in Washington, the children of the Rev. Dr. Martin Luther King Jr. criticized President Trump for his language about people from some countries.
By Alan Blinder
PRINT EDITIONAt Events Honoring King, His Relatives Bemoan Trump’s ‘Dangerous Power’|January 16, 2018, Page A12",2018-01-15
https://www.nytimes.com/2018/01/16/us/politics/us-palestinian-aid-refugee-un.html?searchResultPosition=1,"U.S. Withholds $65 Million From U.N. Relief Agency for Palestinians
The Trump administration cut by more than half the funding it provides to the U.N. Relief and Works Agency, which funds schools and clinics for Palestinians.
By Gardiner Harris and Rick Gladstone
PRINT EDITIONU.S. Withholds Millions Used for Palestinian Aid|January 17, 2018, Page A5",2018-01-16
https://www.nytimes.com/2018/01/17/us/politics/democrat-senators-presidential-election-left.html?searchResultPosition=1,"Senate Democrats Make Hard Turn Left in Warming Up for 2020 Race
The 2020 race for the White House is already unfolding in the Capitol, with no fewer than six Democratic senators angling for their party’s nomination.
By Sheryl Gay Stolberg
PRINT EDITIONHard Turn Left In Warming Up For 2020 Race|January 18, 2018, Page A1",2018-01-17
https://www.nytimes.com/2018/01/18/us/politics/trump-israel-embassy-jerusalem.html?searchResultPosition=1,"U.S. Presses to Relocate Embassy to Jerusalem by 2019
The plans suggest the administration no longer cares about cushioning the blow of its new policy, which has cast President Trump’s peacemaking ambitions into doubt.
By Mark Landler
PRINT EDITIONTrump Administration Presses to Relocate Embassy to Jerusalem by 2019|January 19, 2018, Page A6",2018-01-18
https://www.nytimes.com/2018/01/19/us/politics/government-shutdown-trump-obama.html?searchResultPosition=1,"We’ve Heard It All Before. Shutdown Talk in 2013 Compared to Today.
It’s déjà vu. The sentiments lawmakers make about a government shutdown are the same, but the party that is saying them has changed.
By Mikayla Bouchard
PRINT EDITION
January 20, 2018",2018-01-19
https://www.nytimes.com/2018/01/20/us/politics/carl-higbie-resigns.html?searchResultPosition=1,"Trump Appointee Resigns and Apologizes for Racist Comments
Carl Higbie stepped down from the Corporation for National and Community Service after CNN revealed his disparaging remarks about black people, Muslims and others.
By Christina Caron
PRINT EDITION
January 21, 2018",2018-01-20
https://www.nytimes.com/2018/01/21/us/womens-march-voices.html?searchResultPosition=1,"Voices From the Women’s Marches
Marking the anniversary of the Women’s March in January 2017, hundreds of thousands of people gathered in major cities and small towns around the globe over the weekend, marching for women’s rights from Cheyenne, Wyo.
By Beth Flynn, Nakyung Han and Sandra Stevenson
PRINT EDITION
January 21, 2018",2018-01-21
https://www.nytimes.com/2018/01/22/us/politics/right-left-react-government-shutdown.html?searchResultPosition=1,"Right and Left React to the End of the Government Shutdown
Writers from across the political spectrum examine the aftermath of the government shutdown.
By Anna Dubenko
PRINT EDITION
January 23, 2018",2018-01-22
https://www.nytimes.com/2018/01/23/us/politics/mick-mulvaney-consumer-financial-protection-bureau.html?searchResultPosition=1,"Mick Mulvaney Calls for ‘Humility’ from Consumer Financial Protection Bureau
Mr. Mulvaney, acting director of the consumer bureau, fired off a mission statement instructing staff to not “push the envelope.”
By Alan Rappeport
PRINT EDITION
January 24, 2018",2018-01-23
https://www.nytimes.com/2018/01/24/us/politics/pro-trump-fundraising-trump-hotel.html?searchResultPosition=1,"Trump Groups Raised Millions, Then Paid It Out to Loyalists and a Trump Hotel
New campaign filings show that two pro-Trump groups are raising millions, then channeling the money into the Trump Organization and to Trump loyalists.
By Kenneth P. Vogel and Rachel Shorey
PRINT EDITIONTrump Campaign Cash, Steered to His Friends|January 25, 2018, Page A17",2018-01-24
https://www.nytimes.com/2018/01/25/us/politics/betsy-devos-sexual-assault-guidelines-lawsuit.html?searchResultPosition=1,"Education Secretary Betsy DeVos Is Sued Over Sexual Assault Guidance
Three organizations filed a complaint outlining ways that new sexual assault guidelines had had a “chilling effect” on campus sexual assault investigations.
By Erica L. Green
PRINT EDITIONDeVos Is Sued Over Policy On Campus Sexual Assault|January 26, 2018, Page A15",2018-01-25
https://www.nytimes.com/2018/01/26/us/politics/russia-oligarchs-list-sanctions.html?searchResultPosition=1,"Coming U.S. List of Oligarchs Linked to Putin Alarms Russia’s Rich
Wealthy Russians are on an aggressive lobbying push in fear that they will be penalized by a Washington intent on punishing Moscow’s aggressions.
By Gardiner Harris
PRINT EDITIONComing Trump Administration List of Oligarchs Linked to Putin Rattles Russia’s Rich|January 27, 2018, Page A9",2018-01-26
https://www.nytimes.com/2018/01/27/us/politics/air-force-one-refrigerators.html?searchResultPosition=1,"Air Force One Needs 2 New Refrigerators. Together, They Cost $24 Million.
After more than a quarter-century in use, two “chillers” in the president’s plane are no longer effective and must be replaced, the Air Force said.
By Matt Stevens
PRINT EDITIONAir Force One Is Replacing 2 Fridges, for $24 Million|January 27, 2018, Page A16",2018-01-27
https://www.nytimes.com/2018/01/28/us/politics/trump-jay-z-unemployment-fact-check.html?searchResultPosition=1,"President Trump Bragged to Jay-Z About Black Employment. Is He Right?
The president made a familiar boast that is true as far as it goes. But there are underlying dynamics to consider as well.
By Justin Bank
PRINT EDITION
January 29, 2018",2018-01-28
https://www.nytimes.com/2018/01/29/us/politics/gerrymandering-election-maps.html?searchResultPosition=1,"A Flurry of Courts Have Ruled on Election Maps. Here’s What They’ve Said.
How the disputes over electoral maps in Pennsylvania, Wisconsin, North Carolina and Maryland shape up, and what the next steps are.
By The New York Times
PRINT EDITIONNext Steps In Disputes In 4 States|January 30, 2018, Page A11",2018-01-29
https://www.nytimes.com/2018/01/30/us/politics/dreamers-state-of-the-union.html?searchResultPosition=1,"A Congressman Suggests ‘Dreamers’ Be Arrested. Capitol Hill Rolls Its Eyes.
After Democrats invited young undocumented immigrants to attend the State of the Union address, Representative Paul Gosar called for their arrest
By Sheryl Gay Stolberg
PRINT EDITIONCall to Arrest ‘Dreamers’ Gets Eye Rolls at Capitol|January 31, 2018, Page A17",2018-01-30
https://www.nytimes.com/2018/01/31/us/politics/missile-launch-test-failed.html?searchResultPosition=1,"U.S. Test of Missile Interceptor Fails Off Hawaiian Coast, Officials Say
The failure comes as tensions with North Korea are running high. But it was somewhat routine for a missile defense system that even advocates will not promote as providing a defensive shield.
By Helene Cooper and Eric Schmitt
PRINT EDITIONU.S. Test of a Missile Interceptor Fails Off the Coast of Hawaii, Officials Say|January 31, 2018, Page A10",2018-01-31
https://www.nytimes.com/2018/02/01/us/veterans-roseburg-director.html?searchResultPosition=1,"Director of Veterans Hospital Accused of Manipulating Ratings Is Replaced
Doctors at the veterans hospital in Roseburg, Ore., said administrators had turned away patients in an effort to improve performance scores.
By Dave Philipps
PRINT EDITIONV.A. to Replace Director Under Fire Over Ratings|February 2, 2018, Page A13",2018-02-01
